case_id,probe_id,wall_location,z_over_height,window,minimum_Pa,maximum_Pa,mean_Pa,rms_Pa,p95_Pa,p99_Pa,peak_to_peak_Pa,harmonic_amplitude_Pa,qa_status
forced-fine-co035-pressure-t24,pressure-left-outer-h50,left-outer,0.5,last_cycle,-67.371029,9378.8569,3159.6524189451143,4786.533087078975,9136.3139,9356.25678,9446.227929,5761.817435832182,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h70,left-outer,0.7,final_three_cycles,-91.973281,-75.158114,-83.73112556072172,83.93935912843985,-75.328313,-75.2249068,16.815167000000002,8.352648853207276,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h70,left-outer,0.7,full_run,-92.135936,-74.920722,-83.72360685312499,83.93113403068753,-75.32924465,-75.19137251,17.215214000000003,8.332590634188731,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h70,left-outer,0.7,last_cycle,-91.907914,-75.16955,-83.73052855717255,83.9384835953414,-75.319014,-75.2261536,16.738364000000004,8.418724883713411,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h90,left-outer,0.9,final_three_cycles,-115.97823,-99.293816,-107.86392396668981,108.02254131190092,-99.479868,-99.3255672,16.68441399999999,8.277547210870384,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h90,left-outer,0.9,full_run,-116.02394,-99.261554,-107.86011151104167,108.01894819061918,-99.4651828,-99.31948141,16.762385999999992,8.278146169983712,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h90,left-outer,0.9,last_cycle,-115.96765,-99.293816,-107.86007182120582,108.01859249331866,-99.54672,-99.3248586,16.673834,8.310116395750631,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h10,right-inner,0.1,final_three_cycles,37442.475,44602.734,40917.87559333796,40992.31742923799,44529.576,44578.0366,7160.258999999998,3482.727649827749,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h10,right-inner,0.1,full_run,37092.144,44640.075,40907.62998104166,40981.4018156562,44520.2521,44615.43043,7547.930999999997,3458.2005655689763,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h10,right-inner,0.1,last_cycle,37469.821,44566.665,40912.69562785863,40987.09206594866,44517.406,44557.058600000004,7096.843999999997,3417.8665271822647,configured_limit_exceeded
